table_id,column_1,column_2,url
IUPOCN5C,0,1,area
IUPOCN5C,0,2,elevation above sea level
BQC7DZZR,0,1,area
BQC7DZZR,0,2,elevation above sea level
C8RTQNU5,0,1,area
C8RTQNU5,0,2,elevation above sea level
JKS5KAJR,0,1,area
JKS5KAJR,0,2,elevation above sea level
FZAS3QBH,0,1,area
FZAS3QBH,0,2,elevation above sea level
C3SOO0DD,0,1,area
C3SOO0DD,0,2,elevation above sea level
K4A0E0QL,0,1,scale
K4A0E0QL,0,2,height
K4A0E0QL,0,3,width
9BGB7SWG,0,1,area
9BGB7SWG,0,2,population
NBR61LS1,0,1,area
NBR61LS1,0,2,population
R9VI0ZU0,0,1,represents
9155JW8C,0,1,number of platform tracks
TF13GBS9,0,1,number of platform tracks
BGMLF9DR,0,1,area
DOK169HR,0,1,elevation above sea level
7H4WB3MC,0,1,elevation above sea level
ATPHR1DK,0,1,elevation above sea level
AW4BZJGK,0,1,elevation above sea level
3S53OZSF,0,1,elevation above sea level
8GEH7ZRY,0,1,number of parts of this work
2AX6EPDA,0,1,number of parts of this work
DLGFQQT7,0,2,capital
DLGFQQT7,0,1,area
DLGFQQT7,0,3,population
10NIEV07,0,2,capital
10NIEV07,0,1,area
10NIEV07,0,3,population
8UHQ8NMW,0,2,capital
8UHQ8NMW,0,1,area
8UHQ8NMW,0,3,population
MBGIUSUY,0,2,capital
MBGIUSUY,0,1,area
MBGIUSUY,0,3,population
6RTGWWDZ,0,2,shares border with
6RTGWWDZ,0,1,water as percent of area
XT6VVCAV,0,2,shares border with
XT6VVCAV,0,1,water as percent of area
P9XT0D3W,0,2,shares border with
P9XT0D3W,0,1,water as percent of area
GPENFXWP,0,2,shares border with
GPENFXWP,0,1,water as percent of area
2SAD93QZ,0,2,shares border with
2SAD93QZ,0,1,water as percent of area
HMVJ3GQE,0,2,shares border with
HMVJ3GQE,0,1,water as percent of area
39DKHTFY,0,1,beam
LMOJJ5LT,0,1,elevation above sea level
LMOJJ5LT,0,2,population
W718J2VB,0,1,elevation above sea level
K30ENNC8,0,1,elevation above sea level
OYY5QFUQ,0,1,elevation above sea level
5BBSZ3DP,0,1,elevation above sea level
QNEWRIPI,0,1,area
ZMH90F01,0,1,number of spans
6W4T0PHG,0,1,speed limit
2SLP036H,0,1,speed limit
RESSHCFK,0,1,speed limit
EJGKPNHP,0,1,length
RNUTTGR6,0,1,length
JG29EIGN,0,1,founded by
JG29EIGN,0,2,headquarters location
V5YN6MU4,0,1,right ascension
V5YN6MU4,0,2,declination
ZAWYCL88,0,1,radial velocity
N59ZOEEM,0,1,radial velocity
74EWSF9F,0,1,number of households
UTBAT3T8,0,1,elevation above sea level
KTOJ2CH9,0,1,elevation above sea level
TVK488S0,0,1,population
10BWA0TL,0,1,population
K0GLR5JP,0,1,population
9015OF17,0,1,population
SK380FJC,0,1,country
8ENL8V6N,0,1,count of students
8ENL8V6N,0,2,quantity
H5XHPI0F,0,1,distributed by
H5XHPI0F,0,2,filming location
7L3MPSJV,0,1,distributed by
7L3MPSJV,0,2,filming location
STDHV4DP,0,1,distributed by
STDHV4DP,0,2,filming location
2KSWHXRR,0,1,director
NLNHHO6C,0,1,director
HA2UB096,0,1,director
PFU2O7B0,0,1,director
Y3OHOKFF,0,1,aspect ratio (W:H)
Y3OHOKFF,0,2,based on
UZEGFZUW,0,1,given name
MDLMJD0W,0,1,given name
OIK1GY47,0,1,member of
OIK1GY47,0,2,from narrative universe
OIK1GY47,0,3,present in work
OYFA7N5G,0,1,member of
OYFA7N5G,0,2,from narrative universe
OYFA7N5G,0,3,present in work
X1KVGKMI,0,1,member of
X1KVGKMI,0,2,from narrative universe
X1KVGKMI,0,3,present in work
MNBDFOK9,0,1,creator
0JGLUKC7,0,1,creator
AMHYZTM9,0,1,population
HNEFY0WJ,0,1,population
B72Q14SI,0,1,heritage designation
UN5G44P4,0,1,heritage designation
1P13VPP7,0,1,heritage designation
QN3CDMMP,0,1,heritage designation
WEABZLPX,0,1,heritage designation
9TZLWYCL,0,1,heritage designation
YRSQJEIL,0,1,heritage designation
7E95YXCI,0,1,watershed area
7E95YXCI,0,2,length
5PLSHCFK,0,1,watershed area
5PLSHCFK,0,2,length
KCU5BNBL,0,1,operator
O4EZMN2A,0,1,item operated
UGGRXHFK,0,1,short name
1V4KDGGZ,0,1,male population
1V4KDGGZ,0,2,perimeter
1V4KDGGZ,0,3,population
S9BMP4TY,0,1,population
S9BMP4TY,0,2,area
EB6IPBQ8,0,1,elevation above sea level
KPFFDB6X,0,1,named after
KPFFDB6X,0,2,vessel class
WW0HANTJ,0,1,named after
WW0HANTJ,0,2,vessel class
ZDXHC5ZH,0,1,named after
ZDXHC5ZH,0,2,vessel class
85EJHM3S,0,1,manufacturer
JLGMC2GZ,0,1,apparent magnitude
OU76FU99,0,1,radial velocity
OU76FU99,0,2,declination
OU76FU99,0,3,right ascension
GAY4RNCD,0,1,radial velocity
GAY4RNCD,0,2,declination
GAY4RNCD,0,3,right ascension
81HTFO0W,0,1,radial velocity
81HTFO0W,0,2,declination
81HTFO0W,0,3,right ascension
37O08NT0,0,1,radial velocity
37O08NT0,0,2,declination
37O08NT0,0,3,right ascension
54ZDXWQJ,0,1,radial velocity
54ZDXWQJ,0,2,declination
54ZDXWQJ,0,3,right ascension
SX43HNFG,0,1,radial velocity
SX43HNFG,0,2,declination
SX43HNFG,0,3,right ascension
YRQP7ZQC,0,1,event distance
5FQG9W2C,0,1,event distance
ZWGLJS7X,0,1,brand
ZWGLJS7X,0,2,subclass of
3X518GM9,0,1,shares border with
7S6G8DCY,0,1,different from
SR5UQHNJ,0,1,different from
ISWA7D13,0,1,different from
WRSATFQO,0,1,different from
5ARFKJBD,0,1,different from
NYF7RD9C,0,1,elevation above sea level
FYE84TM8,0,1,elevation above sea level
9TIHF9B6,0,1,population
Z08J73NC,0,1,population
EEQ0K4CX,0,1,located in time zone
7UWKK70Q,0,1,located in time zone
OT39F277,0,1,located in the administrative territorial entity
16WN39MK,0,1,located in the administrative territorial entity
DOQV03WN,0,1,located in the administrative territorial entity
4ZSVT7WB,0,1,twinned administrative body
O7EV0JL2,0,1,has part(s)
PHLND4CO,0,1,has part(s)
D58GW2X4,0,1,lowest atmospheric pressure
8SF4PGAN,0,1,lowest atmospheric pressure
AXRCO4PA,0,1,maximum sustained winds
UXYOTA4P,0,1,draft
UXYOTA4P,0,2,length
904Y3ZUQ,0,1,draft
904Y3ZUQ,0,2,length
CAQ97NU8,0,1,duration
U0N59CWM,0,1,duration
9ETOKU95,0,1,elevation above sea level
9ETOKU95,0,2,population
G826T3H0,0,1,owned by
EYSEG1DW,0,3,location of creation
EYSEG1DW,0,1,diameter
EYSEG1DW,0,2,inception
Z6QJXJF5,0,1,location
0JLTIHOL,0,1,location
8I2R4Y25,0,1,depicts
8I2R4Y25,0,2,made from material
SPIZOSW1,0,1,depicts
SPIZOSW1,0,2,made from material
IN3NQZ9O,0,1,family relationship degree
IQD4QG2M,0,1,area
28LTVSGN,0,1,area
BAJ5LMX3,0,1,area
4ZVYC7IO,0,1,located in the administrative territorial entity
OL0GBCAH,0,1,located in the administrative territorial entity
9BNGDWFI,0,1,located in the administrative territorial entity
MRQQ6DAY,0,1,located in the administrative territorial entity
22RW4XSQ,0,1,country
DXW1TVVD,0,1,mouth of the watercourse
T6T2RBKQ,0,1,elevation above sea level
T3HZNAH7,0,1,population
T3HZNAH7,0,2,area
JVLBTWRN,0,1,population
JVLBTWRN,0,2,area
W979BFV0,0,1,population
W979BFV0,0,2,area
NGWGFKDP,0,1,population
NGWGFKDP,0,2,area
GKD3ETCU,0,1,has subsidiary
8TQM6CS0,0,1,male population
8TQM6CS0,0,2,female population
E6U5C7Q9,0,1,male population
E6U5C7Q9,0,2,female population
EQ3NPLBF,0,1,elevation above sea level
4FHF16G2,0,1,elevation above sea level
8957GCS9,0,1,elevation above sea level
7T1GGN8Y,0,1,elevation above sea level
9M04ISUI,0,1,elevation above sea level
TY5S6P04,0,1,elevation above sea level
SGHFGF16,0,1,population
SGHFGF16,0,2,number of households
RO0K6ISA,0,1,population
RO0K6ISA,0,2,number of households
R9KK199W,0,1,safety classification and labelling
R9KK199W,0,2,density
R9KK199W,0,3,boiling point
GMMIPL1X,0,1,safety classification and labelling
GMMIPL1X,0,2,density
GMMIPL1X,0,3,boiling point
2JE2A69L,0,1,vapor pressure
29PJJKO1,0,1,vapor pressure
PKM9UZ3V,0,1,"number of speakers, writers, or signers"
6G957XWT,0,1,"number of speakers, writers, or signers"
KJBUUEBJ,0,1,"number of speakers, writers, or signers"
ECTUBJYE,0,1,operator
ECTUBJYE,0,2,inception
